,level_0,,Iris-setosa,Iris-versicolor,Iris-virginica
1,Sepal Length,mean,5.01,5.94,6.59
2,Sepal Length,std,0.35,0.52,0.64
3,Sepal Length,min,4.3,4.9,4.9
4,Sepal Length,25%,4.8,5.6,6.22
5,Sepal Length,50%,5.0,5.9,6.5
6,Sepal Length,75%,5.2,6.3,6.9
7,Sepal Length,max,5.8,7.0,7.9
8,Sepal Width,count,50.0,50.0,50.0
9,Sepal Width,mean,3.43,2.77,2.97
10,Sepal Width,std,0.38,0.31,0.32
11,Sepal Width,min,2.3,2.0,2.2
12,Sepal Width,25%,3.2,2.52,2.8
13,Sepal Width,50%,3.4,2.8,3.0
14,Sepal Width,75%,3.68,3.0,3.18
15,Sepal Width,max,4.4,3.4,3.8
16,Petal Length,count,50.0,50.0,50.0
17,Petal Length,mean,1.46,4.26,5.55
18,Petal Length,std,0.17,0.47,0.55
19,Petal Length,min,1.0,3.0,4.5
20,Petal Length,25%,1.4,4.0,5.1
21,Petal Length,50%,1.5,4.35,5.55
22,Petal Length,75%,1.58,4.6,5.88
23,Petal Length,max,1.9,5.1,6.9
24,Petal Width,count,50.0,50.0,50.0
25,Petal Width,mean,0.25,1.33,2.03
26,Petal Width,std,0.11,0.2,0.27
27,Petal Width,min,0.1,1.0,1.4
28,Petal Width,25%,0.2,1.2,1.8
29,Petal Width,50%,0.2,1.3,2.0
30,Petal Width,75%,0.3,1.5,2.3
31,Petal Width,max,0.6,1.8,2.5
,level_0,,Iris-setosa,Iris-versicolor,Iris-virginica
0,Sepal Length,count,50.0,50.0,50.0
1,Sepal Length,mean,5.01,5.94,6.59
2,Sepal Length,std,0.35,0.52,0.64
3,Sepal Length,min,4.3,4.9,4.9
4,Sepal Length,25%,4.8,5.6,6.22
5,Sepal Length,50%,5.0,5.9,6.5
6,Sepal Length,75%,5.2,6.3,6.9
7,Sepal Length,max,5.8,7.0,7.9
8,Sepal Width,count,50.0,50.0,50.0
9,Sepal Width,mean,3.43,2.77,2.97
10,Sepal Width,std,0.38,0.31,0.32
11,Sepal Width,min,2.3,2.0,2.2
12,Sepal Width,25%,3.2,2.52,2.8
13,Sepal Width,50%,3.4,2.8,3.0
14,Sepal Width,75%,3.68,3.0,3.18
15,Sepal Width,max,4.4,3.4,3.8
16,Petal Length,count,50.0,50.0,50.0
17,Petal Length,mean,1.46,4.26,5.55
18,Petal Length,std,0.17,0.47,0.55
19,Petal Length,min,1.0,3.0,4.5
20,Petal Length,25%,1.4,4.0,5.1
21,Petal Length,50%,1.5,4.35,5.55
22,Petal Length,75%,1.58,4.6,5.88
23,Petal Length,max,1.9,5.1,6.9
24,Petal Width,count,50.0,50.0,50.0
25,Petal Width,mean,0.25,1.33,2.03
26,Petal Width,std,0.11,0.2,0.27
27,Petal Width,min,0.1,1.0,1.4
28,Petal Width,25%,0.2,1.2,1.8
29,Petal Width,50%,0.2,1.3,2.0
30,Petal Width,75%,0.3,1.5,2.3
31,Petal Width,max,0.6,1.8,2.5
